OriginId,Latitude_mean,Longitude_mean,Name
10010214,54.5590225,-6.031518,"Poleglass, Brian's Well Road"
10010230,54.5563535,-6.0298755,"Poleglass, Cois Coille"
10010230,54.5563535,-6.0298755,"Poleglass, Woodside"
10012113,54.563132,-6.021205999999999,"Twinbrook, Old Colin"
10012113,54.563132,-6.021205999999999,"Twinbrook, SeanChollann"
10011583,54.564013,-6.019555,"Suffolk, Michael Ferguson Roundabout"
10011583,54.564013,-6.019555,"Suffolk, Timpeallán Ghleann Gabhláin"
10011583,54.564013,-6.019555,"Suffolk, Brooklands Health Care"
10011588,54.5653785,-6.015707000000001,"Suffolk, Coill Héilin"
10011588,54.5653785,-6.015707000000001,"Suffolk, Glengoland"
10011588,54.5653785,-6.015707000000001,"Suffolk, Helen's Wood"
10007839,54.5491925,-6.0318755,"Lagmore, Céide an Laig Mhóir"
10007839,54.5491925,-6.0318755,"Lagmore, Lagmore Drive"
10007838,54.5483375,-6.0293345,"Lagmore, Lagmore Dale"
10007838,54.5483375,-6.0293345,"Lagmore, Gleanntán an Laig Mhóir"
10001171,54.578974,-6.003575,"Andersonstown, Garrán Uí Ádhmaill"
10001171,54.578974,-6.003575,"Andersonstown, Hamill Park"
10009073,54.58374,-5.981015,"Milltown (Belfast), Paráid an Ghleanna"
10001188,54.58088299999999,-5.992992,"Andersonstown, Saint Teresa's"
10001188,54.58088299999999,-5.992992,"Andersonstown, Naomh Treasa"
10001164,54.5800485,-5.9990355,"Andersonstown, CBS"
10001164,54.5800485,-5.9990355,"Andersonstown, Scoil na mBráithre Críostaí"
10001179,54.57909,-6.002997,"Andersonstown, Ráth Muáin"
10001179,54.57909,-6.002997,"Andersonstown, Ramoan"
10007011,54.575939000000005,-6.0226500000000005,"Hannahstown, Cnoc Bhaile Haine"
10007011,54.575939000000005,-6.0226500000000005,"Hannahstown, Hannahstown Hill"
10007013,54.57587,-6.023636,"Hannahstown, Suffolk Road Junction"
10007007,54.573758,-6.021711499999999,"Hannahstown, Donegal Celtic"
10007007,54.573758,-6.021711499999999,"Hannahstown, Ceiltigh Dhún na nGall"
10011591,54.57307,-6.020043,"Suffolk, Seanbhóthar Suffolk"
10011591,54.57307,-6.020043,"Suffolk, Old Suffolk Road"
10000137,54.563256,-6.026612,"Poleglass, Pantridge Road"
10010222,54.563317000000005,-6.020980000000001,"Poleglass, Old Colin"
10010222,54.563317000000005,-6.020980000000001,"Poleglass, SeanChollann"
10011593,54.569695,-6.014778,"Suffolk, Eachlann Chois Abhann"
10011593,54.569695,-6.014778,"Suffolk, Riverside Mews"
10012120,54.55490633333333,-6.026540999999999,"Twinbrook, Bóthar Chill Uaighe"
10012120,54.55490633333333,-6.026540999999999,"Twinbrook, Twinbrook Road"
10007836,54.5509545,-6.027801500000001,"Lagmore, Lagmore Avenue"
10007836,54.5509545,-6.027801500000001,"Lagmore, Ascaill an Laig Mhóir"
10007841,54.555135,-6.042806,"Lagmore, Taiscumar an Laig Mhóir"
10007841,54.555135,-6.042806,"Lagmore, Lagmore Reservoir"
10007844,54.5547095,-6.0417985,"Lagmore, Ascaill Theilinn"
10007844,54.5547095,-6.0417985,"Lagmore, Teeling Avenue"
10012118,54.546939,-6.023489,"Twinbrook, Eastát Chnoc an tSamhraidh"
10012118,54.546939,-6.023489,"Twinbrook, Summerhill Estate"
10012115,54.549803,-6.02332,"Twinbrook, St Marks School"
10001169,54.583559,-5.982029,"Andersonstown, Paráid an Ghleanna"
10006775,54.583014,-5.98495,"Gransha (Belfast), An Ghráinseach"
10006775,54.583014,-5.98495,"Gransha (Belfast), Gransha"
10006774,54.582154,-5.987762,"Gransha (Belfast), Gleann Eoghain"
10006774,54.582154,-5.987762,"Gransha (Belfast), Glenowen"
10001181,54.5783,-6.006315000000001,"Andersonstown, Ros na Ríona"
10001181,54.5783,-6.006315000000001,"Andersonstown, Rosnareen"
10001185,54.580801,-5.990721,"Andersonstown, Bóthar an Ghleanna (Naomh Treasa)"
10006776,54.58294,-5.98534,"Gransha (Belfast), Síopaí na Gráinsí"
10010228,54.5571135,-6.026337,"Poleglass, Bell Steel Road [Stewartstown Road]"
10007842,54.556689000000006,-6.041418,"Lagmore, Radharc an Laig Mhóir"
10007842,54.556689000000006,-6.041418,"Lagmore, Lagmore View"
10007842,54.556689000000006,-6.041418,"Lagmore, LGM Lagmore View"
10012498,54.577293,-6.010093,"Suffolk, Shaws Road"
10012497,54.57753100000001,-6.009261,"Suffolk, Glen Road Heights"
10009340,54.553722,-6.047126,"Mount Eagles, Lagmore Village"
10009340,54.553722,-6.047126,"Mount Eagles, Cearnóg an tSráidbhaile"
10009340,54.553722,-6.047126,"Mount Eagles, MTE Lagmore Village"
10012107,54.552573,-6.021809999999999,"Twinbrook, Ionad Gníomhaíochta an tSrutháin"
10012107,54.552573,-6.021809999999999,"Twinbrook, Brook Centre"
10011587,54.562488,-6.017572,"Suffolk, Gleann Gabhláin"
10011587,54.562488,-6.017572,"Suffolk, Glengoland"
10006046,54.55680149999999,-6.0105575,"Twinbrook, Upper Dunmurry Lane"
10000206,54.5542475,-6.0137350000000005,"Twinbrook, Cherry Road"
